"","Species","Limb.Width","Limb.Length","Observer","Limb.Volume"
"40","Drosophila melanogaster",2.21945826176925,9.54375427552497,"A",36.9235198555442
"41","Drosophila pseudoobscura",2.16245137721115,8.22750691289926,"C",30.2169648564606
"42","Drosophila melanogaster",3.38566623896527,11.2833429994246,"C",101.581812471579
"43","Drosophila suzukii",3.53752385427275,11.6022001697763,"A",114.032590266902
"44","Drosophila subobscura",3.28098334546346,9.79848125666952,"C",82.8431681837538
"45","Drosophila pseudoobscura",4.25958534202659,11.7106818266295,"C",166.880929755909
"46","Drosophila melanogaster",2.93497729583625,8.1303182162579,"C",55.0056014005722
"47","Drosophila virilis",2.5261085355645,15.2197125429906,"A",76.2781838100032
"48","Drosophila subobscura",1.15859234249989,3.36701635841303,"A",3.5497389448715
"49","Drosophila suzukii",2.59480250391796,7.60279482683277,"A",40.2042318288067
"50","Drosophila pseudoobscura",2.83713283104803,8.04051990122568,"B",50.8315498340303
"51","Drosophila virilis",3.24219247595229,12.4538372428573,"C",102.818355708081
"52","Drosophila virilis",2.04460754950657,8.90857720041197,"A",29.2494799857211
"53","Drosophila pseudoobscura",4.08981644173538,9.88657964657952,"A",129.880389937797
"54","Drosophila pseudoobscura",2.66638105392722,9.93990350059787,"C",55.5030027092435
"55","Drosophila virilis",2.56591953563463,7.75084820410068,"A",40.0797661991352
"56","Drosophila pseudoobscura",3.31513772862048,7.58616730937919,"C",65.4810221514074
"57","Drosophila melanogaster",3.19390265131154,9.97035078335353,"A",79.8810324441142
"58","Drosophila suzukii",3.10135685726735,9.44693695836913,"B",71.3648538780115
"59","Drosophila subobscura",2.78726407065175,6.65538565620607,"B",40.6087237609949
"60","Drosophila virilis",3.15563414651728,9.65932727946004,"B",75.5457533191751
"61","Drosophila pseudoobscura",3.51084461793926,9.83922525273988,"C",95.2519778918973
"62","Drosophila pseudoobscura",2.54010459044187,7.350720888906,"B",37.2497200109211
"63","Drosophila virilis",3.22566242599752,9.43296647048353,"B",77.0860873623702
"64","Drosophila melanogaster",2.34481029651643,9.14113974049785,"A",39.4735016995758
"65","Drosophila virilis",2.78444684337703,9.29713417131693,"A",56.613087768415
"66","Drosophila melanogaster",3.71716171857211,9.21007234447377,"C",99.9483973537119
"67","Drosophila melanogaster",1.90553204822848,9.3153414801778,"C",26.5656946138386
"68","Drosophila virilis",2.86713469237655,10.7514430328962,"A",69.4149205560443
"69","Drosophila suzukii",2.62499186817778,9.21227131876888,"C",49.8554368878037
"70","Drosophila subobscura",3.81693919728968,6.41997748444424,"B",73.4604983036723
"71","Drosophila suzukii",0.79281980878084,10.6384348462318,"A",5.2519018914785
"72","Drosophila pseudoobscura",2.53863639326222,9.91416978848817,"C",50.181915759949
"73","Drosophila pseudoobscura",3.80041735928148,12.6377267217655,"A",143.357833025007
"74","Drosophila melanogaster",3.98346529849143,8.25821155282225,"B",102.919569728866
"75","Drosophila subobscura",4.32304083857134,9.44542922318604,"B",138.640544667428
"76","Drosophila pseudoobscura",3.22123675886078,12.2390188234964,"A",99.7428507931517
"77","Drosophila subobscura",2.74797714909211,8.70218039510232,"C",51.6112285736347
"78","Drosophila melanogaster",3.68194160961524,13.0195936784432,"A",138.624855353543
"79","Drosophila suzukii",2.33046996683534,8.70426917192132,"B",37.1286548321096
"80","Drosophila virilis",4.26675025069725,7.52038553710502,"B",107.52870914797
"81","Drosophila suzukii",3.07141967843566,10.3233957318013,"C",76.4875556073944
"82","Drosophila suzukii",3.53568833816562,7.63655110951709,"A",74.9782148737767
"83","Drosophila suzukii",3.61243657823527,12.5863963843769,"A",129.000605426901
"84","Drosophila pseudoobscura",4.00790996375539,6.55573987722212,"C",82.707997851603
"85","Drosophila subobscura",3.49225660626725,9.8802906380552,"A",94.6393821758679
"86","Drosophila suzukii",2.14828525082813,11.4499497427892,"A",41.5027959716358
"87","Drosophila virilis",1.712926092647,13.0842068602159,"C",30.151889503432
"88","Drosophila pseudoobscura",3.31606757255586,9.00695790644361,"A",77.7883855216589
"89","Drosophila suzukii",4.69688885605118,10.9861815792545,"A",190.351902167609
"90","Drosophila pseudoobscura",3.04432507052076,11.4678967928484,"B",83.4748611858258
"91","Drosophila pseudoobscura",3.17702324386631,8.23035115939673,"A",65.245269783209
"92","Drosophila melanogaster",3.66941690731383,12.537920698312,"A",132.589616780007
"93","Drosophila melanogaster",2.72405835843233,9.72213554242602,"A",56.6610173051505
"94","Drosophila pseudoobscura",2.85825652518465,9.40056405795601,"C",60.3178984519592
"95","Drosophila suzukii",3.14685722528313,7.86781979224024,"B",61.1925235711787
"96","Drosophila suzukii",4.11971058774767,10.0717867571223,"A",134.254799041526
"97","Drosophila subobscura",4.12281894905269,8.93953232539637,"A",119.341971336351
"98","Drosophila virilis",2.06293961899456,7.12247641422289,"A",23.8064113987597
"99","Drosophila pseudoobscura",3.17264431148521,10.7741450921566,"A",85.1756531142396
"100","Drosophila subobscura",3.55309578040108,6.45430663059532,"A",63.9960700478849
